x,y
東海大・海野隆司捕手は左越え本塁打を放った。,sports
消費税の税率が１０月１日に８％から１０％へ引き上げられる。,fin
春季リーグ戦のMVPは元気いっぱいだ。九産大の武上が4打数3安打3打点と気を吐いた。,sports
中国側も同時刻に報復として、米国からの輸入品７５０億ドル分の３３％を占める１７１７品目に５％の追加関税をかけた。,fin
福岡六大学野球秋季リーグ戦（西日本新聞社後援）は31日、福岡市の福工大野球場で開幕戦3試合が行われた。,sports
春季リーグ戦はチーム最多の4勝を挙げながら、最長イニングは6回1/3。,sports
世界経済の減速が意識されるなか、米中の制裁関税の応酬は一段と拡大した。,fin
増税は５年ぶりで、軽減税率など新制度も導入される。,fin
ヤクルト・青木宣親外野手（３７）が通算１００死球を記録した。プロ野球２２人目。,sports
景勝地・鳥取砂丘で、長年利活用されていなかった西側の市有地に高級リゾートホテルを誘致する計画が進んでいる。,fin
中国政府も同時刻、750億ドル規模の米国製品に5％か10％の追加関税を課す報復措置の一部を実行に移した。,fin
ヤクルト・山田哲人内野手（２７）が開幕から３２連続盗塁成功。,sports
１０月１日の消費税１０％引き上げまで１カ月。,fin
５回２死一、二塁から左前安打で出塁。,sports
国民生活センターによると、全国の消費生活センターに寄せられた、2018年度の新聞販売トラブルの相談は8783件。,fin
フランスのマクロン大統領は8月31日、イランのロウハニ大統領と電話会談した。,fin
１点リードの五回。先頭で打席に立ち、３球目のファウルが左足を直撃した。,sports
アメリカは昨年、2015年に成立したイラン核合意を離脱し、経済制裁を再開。,fin
ヤクルト青木宣親外野手が、初回の第1打席に通算100個目となる死球を受けた。,sports
無死一塁、フルカウントから中日先発大野雄の6球目144キロ直球が右手首付近を直撃した。,sports
イラン核合意に締結したフランスのマクロン大統領は、アメリカとイランの関係改善に努めてきた。,fin
